unique_key,case_number,date,block,iucr,primary_type,description,location_description,arrest,domestic,beat,district,ward,community_area,fbi_code,x_coordinate,y_coordinate,year,updated_on,latitude,longitude,location
10049728,HY238932,2015-04-28 10:20:00+00:00,002XX N MICHIGAN AVE,0460,BATTERY,SIMPLE,HOTEL/MOTEL,False,False,111,1,42,32,08B,1177257.0,1901911.0,2015,2018-02-10 15:50:01+00:00,41.886179873,-87.624523664,"(41.886179873, -87.624523664)"
10366470,HZ102481,2016-01-03 10:20:00+00:00,002XX N STATE ST,0460,BATTERY,SIMPLE,STREET,True,False,111,1,42,32,08B,1176327.0,1901797.0,2016,2018-02-10 15:50:01+00:00,41.885888079,-87.627942238,"(41.885888079, -87.627942238)"
12547652,JE453243,2021-11-22 07:40:00+00:00,0000X W RANDOLPH ST,0460,BATTERY,SIMPLE,SIDEWALK,False,False,111,1,42,32,08B,1175768.0,1901280.0,2021,2021-11-29 15:40:16+00:00,41.884481993,-87.630010542,"(41.884481993, -87.630010542)"
12826959,JF395481,2022-09-14 08:45:00+00:00,0000X E RANDOLPH ST,0460,BATTERY,SIMPLE,STREET,False,False,111,1,42,32,08B,1176550.0,1901291.0,2022,2023-01-03 15:40:27+00:00,41.884494554,-87.627138636,"(41.884494554, -87.627138636)"
14025212,JJ484873,2025-11-11 00:44:00+00:00,001XX N DEARBORN ST,0460,BATTERY,SIMPLE,CTA STATION,False,False,111,1,34,32,08B,1175930.0,1900914.0,2025,2025-11-19 15:43:46+00:00,41.883474023,-87.629426688,"(41.883474023, -87.629426688)"
13828834,JJ246360,2025-05-07 15:00:00+00:00,002XX N WABASH AVE,0460,BATTERY,SIMPLE,HOTEL / MOTEL,False,False,111,1,42,32,08B,1176777.0,1901808.0,2025,2025-05-17 15:40:52+00:00,41.885908101,-87.626289429,"(41.885908101, -87.626289429)"
7658201,HS463230,2010-08-15 00:40:00+00:00,002XX S CANAL ST,0460,BATTERY,SIMPLE,STREET,False,False,111,1,2,28,08B,1173178.0,1899208.0,2010,2018-02-10 15:50:01+00:00,41.878854148,-87.63958278,"(41.878854148, -87.63958278)"
14090150,JK124145,2026-01-08 15:30:00+00:00,001XX N STATE ST,0460,BATTERY,SIMPLE,CTA STATION,False,False,111,1,42,32,08B,1176330.0,1901649.0,2026,2026-01-24 15:41:03+00:00,41.885481891,-87.627935689,"(41.885481891, -87.627935689)"
5526917,HN341765,2007-05-14 08:00:00+00:00,001XX N WACKER DR,0460,BATTERY,SIMPLE,COMMERCIAL / BUSINESS OFFICE,False,False,111,1,42,32,08B,1173848.0,1901372.0,2007,2018-02-10 15:50:01+00:00,41.88477741,-87.637058225,"(41.88477741, -87.637058225)"
5691977,HN501234,2007-07-31 20:51:18+00:00,006XX W LAKE ST,0460,BATTERY,SIMPLE,RESIDENCE,False,False,111,1,27,28,08B,1171728.0,1901690.0,2007,2018-02-28 15:56:25+00:00,41.88569696,-87.644833747,"(41.88569696, -87.644833747)"
10317790,HY506861,2015-11-18 23:00:00+00:00,001XX N DEARBORN ST,0460,BATTERY,SIMPLE,SIDEWALK,False,False,111,1,42,32,08B,1175930.0,1900878.0,2015,2018-02-10 15:50:01+00:00,41.883375237,-87.629427772,"(41.883375237, -87.629427772)"
10498609,HZ239723,2016-04-25 15:00:00+00:00,001XX N STATE ST,0460,BATTERY,SIMPLE,SIDEWALK,False,False,111,1,42,32,08B,1176330.0,1901657.0,2016,2018-02-10 15:50:01+00:00,41.885503844,-87.627935448,"(41.885503844, -87.627935448)"
12097668,JD287511,2020-07-05 23:30:00+00:00,0000X E RANDOLPH ST,0460,BATTERY,SIMPLE,PARKING LOT / GARAGE (NON RESIDENTIAL),False,False,111,1,42,32,08B,1176550.0,1901291.0,2020,2020-07-12 15:40:56+00:00,41.884494554,-87.627138636,"(41.884494554, -87.627138636)"
2181565,HH437524,2002-06-10 21:30:00+00:00,001XX N CANAL ST,0460,BATTERY,SIMPLE,APARTMENT,False,True,111,1,42,28,08B,1173097.0,1901452.0,2002,2018-02-28 15:56:25+00:00,41.885013623,-87.63981361,"(41.885013623, -87.63981361)"
7886170,HT116241,2011-01-12 11:45:00+00:00,005XX W JACKSON BLVD,0460,BATTERY,SIMPLE,RESTAURANT,True,False,111,1,2,28,08B,1172643.0,1898901.0,2011,2016-02-04 06:33:39+00:00,41.87802357,-87.641556267,"(41.87802357, -87.641556267)"
5800798,HN610879,2007-09-25 16:30:00+00:00,005XX W MONROE ST,0460,BATTERY,SIMPLE,RESTAURANT,False,False,111,1,2,28,08B,1172588.0,1899825.0,2007,2018-02-28 15:56:25+00:00,41.880560303,-87.641730873,"(41.880560303, -87.641730873)"
4908625,HM524381,2006-08-06 22:35:34+00:00,002XX S CANAL ST,0460,BATTERY,SIMPLE,CTA TRAIN,False,False,111,1,2,28,08B,1173177.0,1899236.0,2006,2018-02-28 15:56:25+00:00,41.878931004,-87.639585621,"(41.878931004, -87.639585621)"
11305369,JB250664,2018-05-05 04:49:00+00:00,0000X W RANDOLPH ST,0460,BATTERY,SIMPLE,RESIDENCE,False,False,111,1,42,32,08B,1176102.0,1901284.0,2018,2018-05-12 15:56:14+00:00,41.884485451,-87.628783943,"(41.884485451, -87.628783943)"
11346416,JB304703,2018-06-13 06:40:00+00:00,0000X E WACKER DR,0460,BATTERY,SIMPLE,STREET,True,False,111,1,42,32,08B,1176621.0,1902155.0,2018,2018-06-20 16:03:16+00:00,41.886863814,-87.626851797,"(41.886863814, -87.626851797)"
8587111,HV261018,2012-04-27 18:05:00+00:00,002XX N WABASH AVE,0460,BATTERY,SIMPLE,SIDEWALK,False,False,111,1,42,32,08B,1176777.0,1901797.0,2012,2016-02-04 06:33:39+00:00,41.885877917,-87.626289762,"(41.885877917, -87.626289762)"
8759132,HV433938,2012-08-17 01:05:00+00:00,002XX N DEARBORN ST,0460,BATTERY,SIMPLE,STREET,True,False,111,1,42,32,08B,1175896.0,1901986.0,2012,2018-02-10 15:50:01+00:00,41.886416416,-87.629519252,"(41.886416416, -87.629519252)"
8653266,HV328865,2012-06-11 02:00:00+00:00,002XX N STATE ST,0460,BATTERY,SIMPLE,STREET,False,False,111,1,42,32,08B,1176327.0,1901797.0,2012,2016-02-04 06:33:39+00:00,41.885888079,-87.627942238,"(41.885888079, -87.627942238)"
4044362,HL393290,2005-06-01 22:00:00+00:00,003XX W WACKER DR,0460,BATTERY,SIMPLE,SIDEWALK,False,False,111,1,42,32,08B,1174120.0,1901942.0,2005,2018-02-28 15:56:25+00:00,41.886335464,-87.636042402,"(41.886335464, -87.636042402)"
12379083,JE246760,2021-05-29 12:30:00+00:00,0000X E LAKE ST,0460,BATTERY,SIMPLE,STREET,False,False,111,1,42,32,08B,1176905.0,1901744.0,2021,2021-06-05 15:40:05+00:00,41.885729587,-87.625821329,"(41.885729587, -87.625821329)"
1625612,G388949,2001-07-03 23:30:00+00:00,004XX W MADISON ST,0460,BATTERY,SIMPLE,LAKEFRONT/WATERFRONT/RIVERBANK,False,False,111,1,,,08B,1173330.0,1900355.0,2001,2015-08-17 15:03:40+00:00,41.881998216,-87.638990597,"(41.881998216, -87.638990597)"
1635740,G415701,2001-07-16 07:25:00+00:00,007XX W JACKSON BL,0460,BATTERY,SIMPLE,SIDEWALK,True,True,111,1,,,08B,1171623.0,1898913.0,2001,2021-09-07 15:41:02+00:00,41.878078997,-87.645301082,"(41.878078997, -87.645301082)"
13088903,JG278070,2023-05-28 00:48:00+00:00,002XX N STATE ST,0460,BATTERY,SIMPLE,BAR OR TAVERN,False,False,111,1,42,32,08B,1176327.0,1901797.0,2023,2023-08-19 15:40:26+00:00,41.885888079,-87.627942238,"(41.885888079, -87.627942238)"
2234018,HH504264,2002-07-12 08:00:00+00:00,001XX S JEFFERSON ST,0460,BATTERY,SIMPLE,STREET,True,False,111,1,2,28,08B,1172353.0,1899617.0,2002,2018-02-28 15:56:25+00:00,41.87999473,-87.642599911,"(41.87999473, -87.642599911)"
9883654,HX535080,2014-12-08 18:08:00+00:00,0000X W WASHINGTON ST,0460,BATTERY,SIMPLE,STREET,False,False,111,1,42,32,08B,1175800.0,1900817.0,2014,2018-02-10 15:50:01+00:00,41.883210775,-87.629906972,"(41.883210775, -87.629906972)"
9836852,HX486369,2014-10-29 07:00:00+00:00,002XX N LOWER MICHIGAN AVE,0460,BATTERY,SIMPLE,STREET,True,False,111,1,42,32,08B,1177257.0,1901911.0,2014,2018-02-10 15:50:01+00:00,41.886179873,-87.624523664,"(41.886179873, -87.624523664)"
11363637,JB327426,2018-06-29 08:50:00+00:00,0000X E RANDOLPH ST,0460,BATTERY,SIMPLE,STREET,False,False,111,1,42,32,08B,1176561.0,1901291.0,2018,2018-07-06 15:55:18+00:00,41.884494306,-87.627098243,"(41.884494306, -87.627098243)"
11335071,JB290099,2018-06-02 17:35:00+00:00,002XX N WABASH AVE,0460,BATTERY,SIMPLE,STREET,False,False,111,1,42,32,08B,1176777.0,1901797.0,2018,2018-06-09 15:50:10+00:00,41.885877917,-87.626289762,"(41.885877917, -87.626289762)"
9890214,HX540268,2014-12-13 01:06:00+00:00,002XX N STATE ST,0460,BATTERY,SIMPLE,HOTEL/MOTEL,True,False,111,1,42,32,08B,1176327.0,1901797.0,2014,2018-02-10 15:50:01+00:00,41.885888079,-87.627942238,"(41.885888079, -87.627942238)"
8731500,HV407427,2012-07-30 15:05:00+00:00,0000X W LAKE ST,0460,BATTERY,SIMPLE,STREET,False,False,111,1,42,32,08B,1176189.0,1901746.0,2012,2016-02-04 06:33:39+00:00,41.885751244,-87.628450536,"(41.885751244, -87.628450536)"
14017762,JJ475579,2025-11-03 08:49:00+00:00,0000X E RANDOLPH ST,0460,BATTERY,SIMPLE,STREET,False,False,111,1,34,32,08B,1177130.0,1901298.0,2025,2025-11-11 15:41:33+00:00,41.884500646,-87.625008612,"(41.884500646, -87.625008612)"
1827973,G657001,2001-11-01 05:29:16+00:00,005XX W MADISON ST,0460,BATTERY,SIMPLE,RESIDENCE,True,True,111,1,,,08B,1172491.0,1900252.0,2001,2021-09-07 15:41:02+00:00,41.881734163,-87.642074416,"(41.881734163, -87.642074416)"
1997978,HH196628,2002-02-19 17:06:28+00:00,0000X N DESPLAINES ST,0460,BATTERY,SIMPLE,SIDEWALK,False,True,111,1,,,08B,1171928.0,1900389.0,2002,2021-09-07 15:41:02+00:00,41.882122525,-87.644137681,"(41.882122525, -87.644137681)"
13472849,JH278714,2024-05-25 16:27:00+00:00,002XX N WABASH AVE,0460,BATTERY,SIMPLE,HOTEL / MOTEL,False,False,111,1,42,32,08B,1176777.0,1901808.0,2024,2025-05-17 15:40:52+00:00,41.885908101,-87.626289429,"(41.885908101, -87.626289429)"
13545730,JH366407,2024-07-29 10:55:00+00:00,001XX N STATE ST,0460,BATTERY,SIMPLE,CTA BUS STOP,True,False,111,1,34,32,08B,1176344.0,1901160.0,2024,2025-05-17 15:40:52+00:00,41.884139733,-87.627899041,"(41.884139733, -87.627899041)"
11665692,JC236835,2019-04-24 14:15:00+00:00,0000X W WASHINGTON ST,0460,BATTERY,SIMPLE,GOVERNMENT BUILDING/PROPERTY,False,False,111,1,42,32,08B,1175800.0,1900817.0,2019,2019-05-01 16:31:01+00:00,41.883210775,-87.629906972,"(41.883210775, -87.629906972)"
11791972,JC389769,2019-08-12 11:00:00+00:00,003XX N MICHIGAN AVE,0460,BATTERY,SIMPLE,SIDEWALK,False,False,111,1,42,32,08B,1177242.0,1902518.0,2019,2019-08-19 15:53:06+00:00,41.887845852,-87.624560336,"(41.887845852, -87.624560336)"
13769469,JJ174330,2025-03-08 22:46:00+00:00,002XX N MICHIGAN AVE,0460,BATTERY,SIMPLE,CTA PLATFORM,False,False,111,1,42,32,08B,1177258.0,1901852.0,2025,2025-11-02 15:41:09+00:00,41.886017951,-87.624521781,"(41.886017951, -87.624521781)"
