,0
calls_lag2,1.5077147226530558
calls_roll3m,1.159844823445306
calls_roll6m,1.0712578390712457
calls_lag1,1.0029882867644604
calls_lag3,0.9472690415984505
critical_lag2,0.7802148971150817
hotspot_roll6m,0.750639324668483
is_winter,0.5885646215568028
critical_roll12m,0.4509361557060425
critical_roll6m,0.4162052415113535
month_sin,0.39253234036419526
month_cos,0.3862066054024232
hotspot_streak,0.35949408659758986
critical_roll3m,0.35324815203036514
hotspot_lag2,0.3435304827149785
critical_lag1,0.3292969678748079
call_trend_3m,0.3000885136770351
is_summer,0.21847356696696216
hotspot_roll12m,0.20491047536657497
calls_roll12m,0.20450696306635355
cumulative_call_rate,0.19587883787455007
month,0.19461707618804527
hotspot_same_month_ly,0.1858163376399472
quarter,0.15523403396025892
hotspot_roll3m,0.0936130006247715
cumulative_hotspot_rate,0.09269711368949218
hotspot_lag1,0.07394181519282915
critical_lag3,0.05937111961947564
calls_same_month_ly,0.0032791000625828366
hotspot_lag3,0.0014564247742024118
